,drug,type,method,comp1_mic_mean,comp1_mic_p95,comp1_b1,comp1_v1,fail,comp2_perc1,comp2_mic1_mean,comp2_mic1_p95,comp2_perc2,comp2_mic2_mean,comp2_mic2_p95,comp2_b1,comp2_b2,comp2_v1,comp2_v2,comp3_perc1,comp3_mic1_mean,comp3_mic1_p95,comp3_perc2,comp3_mic2_mean,comp3_mic2_p95,comp3_perc3,comp3_mic3_mean,comp3_mic3_p95,comp3_b1,comp3_b2,comp3_b3,comp3_v1,comp3_v2,comp3_v3,comp2_cons,comp3_cons,comp3_cons2
17,CFZ,raw,intreg_all,0.0439523309469223,0.21532201766967773,-4.507916450500488,1.3680455684661865,no,99.08646392822266,0.044422220438718796,0.2392341047525406,0.9135386943817139,0.8601592183113098,9.01002025604248,-4.492574691772461,-0.21732433140277863,1.5359171628952026,2.989466905593872,,,,,,,,,,,,,,,,-4.686422348022461,,
18,CFZ,SSSSnotRclean,intreg_1pop,0.04364906996488571,0.2011997550725937,-4.517905235290527,1.2651723623275757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,CFZ,SSSSnotRclean,bootstrap,0.04364906996488571,0.2011997550725937,-4.517905235290527,1.2651723623275757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,DLM,raw,intreg_all,0.0045232996344566345,0.03154830262064934,-7.7884087562561035,2.043900489807129,no,98.38919830322266,0.004595466423779726,0.045944664627313614,1.6108027696609497,1.9020698070526123,14.4478759765625,-7.765573024749756,0.9275702238082886,2.87201189994812,2.2274272441864014,,,,,,,,,,,,,,,,-4.112198352813721,,
21,DLM,SSSSnotRclean,intreg_1pop,0.005252622999250889,0.03347805142402649,-7.572746276855469,1.8586392402648926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,DLM,SSSSnotRclean,bootstrap,0.005252622999250889,0.03347805142402649,-7.572746276855469,1.8586392402648926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,ETH,raw,intreg_all,1.3970513343811035,7.128154754638672,0.4823850095272064,1.4389516115188599,no,63.51630401611328,0.9828627109527588,2.6393399238586426,36.48369598388672,2.815122604370117,51.75542449951172,-0.024938197806477547,1.4931977987289429,0.5286739468574524,4.592799663543701,,,,,,,,,,,,,,,,-0.554431140422821,,
24,ETH,SSSSnotRclean,intreg_1pop,1.0515097379684448,3.606234312057495,0.07246213406324387,0.8229368329048157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,ETH,SSSSnotRclean,bootstrap,1.0515097379684448,3.606234312057495,0.07246213406324387,0.8229368329048157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,LZD,raw,intreg_all,0.36772122979164124,1.3794294595718384,-1.4433156251907349,0.9470341801643372,no,25.56047821044922,0.29967477917671204,2.5181593894958496,74.43952178955078,0.39467743039131165,0.9143658876419067,-1.7385303974151611,-1.3412541151046753,2.454817533493042,0.3824397623538971,,,,,,,,,,,,,,,,1.0689398050308228,,
27,LZD,SSSSnotRclean,intreg_1pop,0.4056933522224426,1.4122309684753418,-1.3015384674072266,0.8429437279701233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,LZD,SSSSnotRclean,bootstrap,0.4056933522224426,1.4122309684753418,-1.3015384674072266,0.8429437279701233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,LEV,raw,intreg_all,0.5202729105949402,2.8239073753356934,-0.9426594972610474,1.5502184629440308,no,86.24659729003906,0.36406370997428894,0.9072569012641907,13.753403663635254,5.42366886138916,18.787622451782227,-1.4577372074127197,2.4392690658569336,0.45172131061553955,0.8363304138183594,,,,,,,,,,,,,,,,-1.8359242677688599,,
30,LEV,SSSSnotRclean,intreg_1pop,0.38927406072616577,1.2547075748443604,-1.3611419200897217,0.7421409487724304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,LEV,SSSSnotRclean,bootstrap,0.38927406072616577,1.2547075748443604,-1.3611419200897217,0.7421409487724304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,MXF,raw,intreg_all,0.2915281355381012,1.9206013679504395,-1.7782930135726929,1.9256534576416016,no,87.41658020019531,0.20423395931720734,0.9886114597320557,12.583420753479004,4.08615255355835,9.657075881958008,-2.291705369949341,2.03074312210083,1.3474719524383545,0.40079447627067566,,,,,,,,,,,,,,,,-1.9383047819137573,,
33,MXF,SSSSnotRclean,intreg_1pop,0.2091018706560135,0.9095957279205322,-2.2577221393585205,1.171054720878601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,MXF,SSSSnotRclean,bootstrap,0.2091018706560135,0.9095957279205322,-2.2577221393585205,1.171054720878601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,AMI,raw,intreg_all,0.14622564613819122,1.2102292776107788,-2.7737317085266113,2.4199485778808594,no,94.34698486328125,0.13938257098197937,1.0102698802947998,5.653013706207275,39.4677734375,165.82200622558594,-2.8428778648376465,5.302603244781494,2.1256725788116455,1.1163523197174072,,,,,,,,,,,,,,,,-2.8147904872894287,,
36,AMI,SSSSnotRclean,intreg_1pop,0.15319596230983734,0.7802020907402039,-2.706549882888794,1.4356803894042969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,AMI,SSSSnotRclean,bootstrap,0.15319596230983734,0.7802020907402039,-2.706549882888794,1.4356803894042969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,KAN,raw,intreg_all,1.5864192247390747,8.596305847167969,0.6657741069793701,1.5471585988998413,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,KAN,SSSSnotRclean,intreg_1pop,1.683794617652893,6.012790203094482,0.751716136932373,0.8777763247489929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,KAN,SSSSnotRclean,bootstrap,1.683794617652893,6.012790203094482,0.751716136932373,0.8777763247489929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
